E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA
0.117,1.425,0.117,1.42,0.117,1.419,0.076,-0.316,0.076,-0.33,0.064,-0.629,0.064,-0.633,0.117,2.091,0.117,2.084,0.117,2.793,0.117,2.787,0.117,5.514,0.117,5.521
0.118,1.42,0.118,1.408,0.118,1.41,0.075,-0.327,0.075,-0.333,0.063,-0.63,0.063,-0.609,0.118,2.077,0.118,2.069,0.118,2.788,0.118,2.779,0.118,5.497,0.118,5.491
0.119,1.426,0.119,1.41,0.119,1.41,0.075,-0.319,0.075,-0.325,0.063,-0.633,0.063,-0.644,0.119,2.083,0.119,2.069,0.119,2.79,0.119,2.778,0.119,5.511,0.119,5.5
0.12,1.411,0.12,1.406,0.12,1.4,0.075,-0.348,0.075,-0.342,0.063,-0.63,0.063,-0.618,0.12,2.068,0.12,2.071,0.12,2.778,0.12,2.775,0.12,5.5,0.12,5.492
0.121,1.42,0.121,1.402,0.121,1.396,0.075,-0.328,0.075,-0.333,0.062,-0.655,0.062,-0.641,0.121,2.064,0.121,2.063,0.121,2.764,0.121,2.768,0.121,5.489,0.121,5.488
0.122,1.41,0.122,1.4,0.122,1.39,0.074,-0.337,0.074,-0.337,0.062,-0.623,0.062,-0.623,0.122,2.054,0.122,2.048,0.122,2.755,0.122,2.753,0.122,5.466,0.122,5.468
0.123,1.411,0.123,1.405,0.123,1.4,0.074,-0.319,0.074,-0.319,0.061,-0.635,0.061,-0.646,0.123,2.064,0.123,2.049,0.123,2.767,0.123,2.759,0.123,5.491,0.123,5.48
0.124,1.406,0.124,1.399,0.124,1.391,0.074,-0.331,0.074,-0.33,0.061,-0.647,0.061,-0.655,0.124,2.051,0.124,2.052,0.124,2.758,0.124,2.741,0.124,5.474,0.124,5.463
0.125,1.41,0.125,1.403,0.125,1.397,0.074,-0.324,0.074,-0.328,0.061,-0.629,0.061,-0.629,0.125,2.052,0.125,2.045,0.125,2.747,0.125,2.736,0.125,5.462,0.125,5.462
0.126,1.405,0.126,1.391,0.126,1.388,0.073,-0.337,0.073,-0.33,0.06,-0.626,0.06,-0.629,0.126,2.04,0.126,2.038,0.126,2.727,0.126,2.725,0.126,5.443,0.126,5.437
0.127,1.405,0.127,1.396,0.127,1.388,0.073,-0.328,0.073,-0.317,0.06,-0.544,0.06,-0.552,0.127,2.037,0.127,2.035,0.127,2.732,0.127,2.729,0.127,5.442,0.127,5.44
0.128,1.399,0.128,1.39,0.128,1.385,0.073,-0.339,0.073,-0.345,0.06,-0.33,0.06,-0.328,0.128,2.029,0.128,2.031,0.128,2.724,0.128,2.727,0.128,5.428,0.128,5.422
0.129,1.396,0.129,1.391,0.129,1.385,0.073,-0.324,0.073,-0.328,0.061,-0.153,0.061,-0.12,0.129,2.025,0.129,2.029,0.129,2.709,0.129,2.712,0.129,5.429,0.129,5.417
0.13,1.391,0.13,1.39,0.13,1.38,0.072,-0.327,0.072,-0.324,0.061,0.06,0.061,0.055,0.13,2.012,0.13,2.015,0.13,2.698,0.13,2.712,0.13,5.406,0.13,5.402
0.131,1.4,0.131,1.399,0.131,1.4,0.072,-0.333,0.072,-0.331,0.061,0.175,0.061,0.199,0.131,2.038,0.131,2.041,0.131,2.732,0.131,2.741,0.131,5.426,0.131,5.434
0.132,1.4,0.132,1.39,0.132,1.396,0.072,-0.336,0.072,-0.33,0.062,0.319,0.062,0.298,0.132,2.014,0.132,2.025,0.132,2.715,0.132,2.71,0.132,5.414,0.132,5.411
0.133,1.394,0.133,1.388,0.133,1.377,0.072,-0.33,0.072,-0.336,0.062,0.382,0.062,0.388,0.133,2.023,0.133,2.014,0.133,2.701,0.133,2.692,0.133,5.397,0.133,5.399
0.134,1.383,0.134,1.382,0.134,1.373,0.071,-0.333,0.071,-0.327,0.063,0.436,0.063,0.425,0.134,2,0.134,1.997,0.134,2.689,0.134,2.686,0.134,5.374,0.134,5.365
0.135,1.388,0.135,1.379,0.135,1.374,0.071,-0.327,0.071,-0.328,0.063,0.494,0.063,0.477,0.135,2,0.135,2.006,0.135,2.686,0.135,2.681,0.135,5.362,0.135,5.365
0.136,1.385,0.136,1.368,0.136,1.368,0.071,-0.33,0.071,-0.328,0.063,0.515,0.063,0.517,0.136,1.995,0.136,1.991,0.136,2.675,0.136,2.67,0.136,5.347,0.136,5.345
0.137,1.383,0.137,1.374,0.137,1.367,0.071,-0.328,0.071,-0.345,0.064,0.52,0.064,0.522,0.137,1.986,0.137,1.985,0.137,2.663,0.137,2.663,0.137,5.331,0.137,5.328
0.138,1.374,0.138,1.362,0.138,1.364,0.07,-0.324,0.07,-0.339,0.064,0.549,0.064,0.526,0.138,1.972,0.138,1.977,0.138,2.656,0.138,2.644,0.138,5.311,0.138,5.302
0.139,1.379,0.139,1.374,0.139,1.37,0.07,-0.333,0.07,-0.337,0.064,0.552,0.064,0.551,0.139,1.994,0.139,1.983,0.139,2.653,0.139,2.656,0.139,5.313,0.139,5.313
0.14,1.376,0.14,1.365,0.14,1.359,0.07,-0.345,0.07,-0.322,0.065,0.577,0.065,0.56,0.14,1.969,0.14,1.971,0.14,2.643,0.14,2.643,0.14,5.294,0.14,5.291
