E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA
0.071,-0.268,0.071,-0.288,0.078,0.483,0.078,0.486,0.136,1.203,0.136,1.198,0.136,1.715,0.136,1.712,0.252,1.034,0.252,1.022,0.252,2.354,0.252,2.307
0.071,-0.281,0.071,-0.281,0.079,0.468,0.079,0.459,0.137,1.201,0.137,1.201,0.137,1.707,0.137,1.707,0.254,0.994,0.254,0.98,0.254,2.273,0.254,2.233
0.07,-0.287,0.07,-0.284,0.079,0.48,0.079,0.474,0.138,1.199,0.138,1.207,0.138,1.706,0.138,1.699,0.256,0.956,0.256,0.939,0.256,2.189,0.256,2.149
0.07,-0.274,0.07,-0.265,0.08,0.476,0.08,0.468,0.139,1.21,0.139,1.207,0.139,1.71,0.139,1.706,0.258,0.931,0.258,0.917,0.258,2.129,0.258,2.089
0.07,-0.297,0.07,-0.297,0.08,0.477,0.08,0.469,0.14,1.206,0.14,1.201,0.14,1.704,0.14,1.699,0.26,0.883,0.26,0.871,0.26,2.031,0.26,1.992
0.07,-0.274,0.07,-0.281,0.081,0.479,0.081,0.469,0.141,1.207,0.141,1.201,0.141,1.702,0.141,1.702,0.262,0.848,0.262,0.837,0.262,1.951,0.262,1.916
0.07,-0.287,0.07,-0.279,0.081,0.479,0.081,0.477,0.142,1.206,0.142,1.198,0.142,1.684,0.142,1.687,0.264,0.818,0.264,0.802,0.264,1.871,0.264,1.841
0.069,-0.281,0.069,-0.276,0.082,0.477,0.082,0.469,0.143,1.207,0.143,1.204,0.143,1.696,0.143,1.692,0.266,0.785,0.266,0.781,0.266,1.804,0.266,1.775
0.069,-0.296,0.069,-0.304,0.082,0.474,0.082,0.474,0.144,1.199,0.144,1.203,0.144,1.684,0.144,1.679,0.268,0.756,0.268,0.742,0.268,1.733,0.268,1.702
0.069,-0.273,0.069,-0.279,0.083,0.477,0.083,0.471,0.145,1.207,0.145,1.201,0.145,1.687,0.145,1.684,0.27,0.73,0.27,0.716,0.27,1.664,0.27,1.638
0.069,-0.278,0.069,-0.274,0.083,0.491,0.083,0.492,0.146,1.207,0.146,1.192,0.146,1.679,0.146,1.67,0.272,0.704,0.272,0.695,0.272,1.607,0.272,1.574
0.068,-0.273,0.068,-0.276,0.084,0.48,0.084,0.48,0.147,1.216,0.147,1.213,0.147,1.693,0.147,1.69,0.274,0.68,0.274,0.673,0.274,1.552,0.274,1.526
0.068,-0.291,0.068,-0.29,0.084,0.488,0.084,0.471,0.148,1.212,0.148,1.204,0.148,1.676,0.148,1.675,0.276,0.652,0.276,0.647,0.276,1.489,0.276,1.46
0.068,-0.281,0.068,-0.271,0.085,0.476,0.085,0.468,0.149,1.209,0.149,1.207,0.149,1.675,0.149,1.673,0.278,0.634,0.278,0.621,0.278,1.434,0.278,1.411
0.068,-0.284,0.068,-0.273,0.085,0.485,0.085,0.483,0.15,1.198,0.15,1.199,0.15,1.664,0.15,1.663,0.28,0.611,0.28,0.604,0.28,1.382,0.28,1.362
0.067,-0.284,0.067,-0.276,0.086,0.476,0.086,0.469,0.151,1.216,0.151,1.204,0.151,1.67,0.151,1.672,0.282,0.595,0.282,0.589,0.282,1.336,0.282,1.318
0.067,-0.322,0.067,-0.319,0.086,0.474,0.086,0.471,0.152,1.196,0.152,1.198,0.152,1.66,0.152,1.656,0.284,0.581,0.284,0.569,0.284,1.291,0.284,1.267
0.067,-0.287,0.067,-0.287,0.086,0.476,0.086,0.471,0.153,1.207,0.153,1.204,0.153,1.661,0.153,1.66,0.286,0.558,0.286,0.552,0.286,1.242,0.286,1.227
